"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7YH9NBL6","journalArticle","2026","Zhang, Yunlin; Zhang, Yanwei; Li, Jianfeng","A study on machine learning-based prediction model for surface litter moisture content in coniferous forests","Natural Hazards","","0921-030X","10.1007/s11069-026-08022-y","","Litter moisture content (LMC) is a critical factor influencing forest fire ignition and spread, directly determining fire risk rating and fire behaviour, making it a core parameter in forest fire management. The temporal scale of the data analyzed and modelled is daily, as either LMC or weather data were collected daily. The daily minimum LMC is of significant importance for practical operations such as forest fire risk forecasting and prescribed burning. Currently, machine learning has been widely applied in forest fire management; however, research on daily predictions distinguishing between different LMC ranges, which are the original data with from 0% to maximum value, the subset of the data with LMC from 0 to 35%, and the sub-dataset with LMC grater than 35%, remains relatively scarce, and systematic comparisons with traditional methods are still insufficient, limiting the depth and breadth of model applications in this field. Therefore, this study focused on the surface litter of typical coniferous forests in southwestern China. Two machine learning (ML) methods, XGBoost and Random Forest (RF), were employed to predict daily LMC. Their performance was systematically compared with that of traditional semi-physical models (the Nelson and Simard mehtod) in order to evaluate the applicability of ML methods for operational prediction. The results indicated that when LMC ≤ 35%, relative humidity was the primary influencing factor, whereas wind speed and rainfall had significant effects on the full LMC dataset and the sub-dataset with LMC ≥ 35%. Both XGBoost and RF methods demonstrated excellent predictive capabilities across all LMC data, with a maximum mean absolute error (MAE) of only 9.23% and R2 values consistently above 0.97. In contrast, the two traditional semi-physical methods, Nelson and Simard, exhibited higher prediction errors, with a minimum error still reaching 26.52%, failing to meet the practical management requirements for fire danger forecasting. This study confirms the significant advantages of the ML methods in daily LMC prediction, offering not only high predictive accuracy but also good interpretability in identifying key factors influencing LMC dynamics. It provides theoretical support and technical basis for forest fire prevention and fuel management in southwestern China. © The Author(s), under exclusive licence to Springer Nature B.V. 2026.","2026","2026-06-19 01:57:33","2026-06-19 01:57:33","","","","5","122","","Nat. Hazards","","","","","","Springer Science and Business Media B.V.","","English","","","","","Scopus","","","","","","","Daily prediction; Foret fire risk; Litter moisture content; Random forest; XGBoost; Yunnan province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ9CSJLB","journalArticle","2026","Vibhandik, Priyanka; Sawant, Suraj; Joshi, Amit; Bidwe, Ranjeet","A systematic literature review on forest fire susceptibility mapping using geo-spatial technology and future research directions","Discover Artificial Intelligence","","2731-0809","10.1007/s44163-026-00921-0","","Forest Fires pose escalating environmental and economic challenges, demanding accurate predictive modeling for effective mitigation. Recent advances in geospatial technologies and machine learning (ML) have improved Forest Fire-susceptibility mapping by integrating multispectral satellite imagery with advanced algorithms. This systematic review synthesizes studies published between 1992 and 2024 that apply ML and deep-learning approaches—such as XGBoost, LightGBM, CatBoost, and AdaBoost—to Forest Fire risk assessment. The review analyzes methodological evolution, data quality, and spatial–temporal modeling practices, highlighting the strengths and limitations of hybrid geospatial frameworks. Persistent challenges include data scarcity, model generalizability, and interpretability, while emerging opportunities lie in explainable AI (XAI) and climate-aware modeling. By consolidating cross-disciplinary insights, this review provides a conceptual and methodological foundation for enhancing the accuracy, scalability, and applicability of Forest Fire-prediction systems. © The Author(s) 2026.","2026","2026-06-19 01:57:37","2026-06-19 01:57:37","","","","1","6","","Discov. Artif. Intell.","","","","","","Springer Nature","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\HTFRTYFC\Vibhandik et al. - 2026 - A systematic literature review on forest fire susceptibility mapping using geo-spatial technology an.pdf","","","Deep learning (DL); Forest fire (FF); GIS; Machine learning (ML); Susceptibility mapping; Systematic literature review (SLR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3JWBFKV","journalArticle","2026","Karger, Erik; Jeppe, Arne; Ziolkowski, Rafael; Korn, Falco; Hackel, Tobias; Harr, Michael; Brée, Tim; Ahlemann, Frederik","Artificial intelligence for wildfire detection and management","Discover Artificial Intelligence","","2731-0809","10.1007/s44163-026-01087-5","","Motivated by the historical use and increasing relevance of artificial intelligence (AI) in wildfire management, this study reviews the role of AI in wildfire management through a bibliometric study using a dataset of 1,985 peer-reviewed publications sourced from Scopus. The analysis identifies four thematic clusters: (1) geospatial and climatic analysis of wildfires using remote sensing and prediction, (2) technological and algorithmic advancements for wildfire detection and monitoring, (3) machine learning–driven wildfire prediction, risk assessment, and behavior modeling. Our findings show a multidisciplinary and application-oriented research field with increasing relevance due to climate change and escalating fire events. Based on our findings, we propose future research directions, including multimodal data integration, explainable AI, and real-time human-AI collaboration. This study contributes to a systematic understanding of current AI approaches in wildfire research and supports the development of a targeted research agenda for advancing technological and scientific responses to wildland fire challenges. © The Author(s) 2026.","2026","2026-06-19 01:57:40","2026-06-19 01:57:40","","","","1","6","","Discov. Artif. Intell.","","","","","","Springer Nature","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\S6WASALC\Karger et al. - 2026 - Artificial intelligence for wildfire detection and management.pdf","","","Artificial intelligence; Climate change; Co-occurrence; Network analysis; Wildfire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PDJMSF3F","journalArticle","2026","Wimmer, Elisabeth Katharina; Mallinger, Kevin; Corpaci, Luiza Cristina; Raubitzek, Sebastian; König, Caroline; Neubauer, Thomas; Schrittwieser, Sebastian","Local drivers of anthropogenic forest fire ignition vulnerability in Austria","Fire Ecology","","1933-9747","10.1186/s42408-026-00496-2","","Background: Forest fires are becoming more frequent and destructive under climate change, threatening ecosystems, and society. Existing machine learning approaches for modeling forest fire ignition vulnerability often lack the spatial resolution needed for local-scale estimation, rely on limited proxies for anthropogenic ignition pressure, and provide only limited insight into how ignition drivers and their importance vary across local conditions, which limits their usefulness for developing locally meaningful fire danger models. Results: We developed a machine learning framework for anthropogenic forest fire ignition vulnerability in Austria using 1569 documented fire events from 2012 to 2021 and an equal number of generated non-fire samples. The model integrates high-resolution environmental, socioeconomic, infrastructure-related, and human movement variables to estimate probabilistic vulnerability scores at spatially resolved point locations across Austria. A web based tool visualizes these predictions on a 50 by 50 m grid with adaptive aggregation at lower zoom levels. CatBoost and Random Forest achieved a precision of 80.7% and an accuracy of 77.9%, exceeding earlier Austrian studies with accuracies of around 60%. Both models produced highly consistent spatial patterns and identified fire prone areas especially in eastern and southern Austria. Explainable AI analyses showed positive effects of Running Frequency, Building Density, and Fine Fuel Moisture Code, while slope showed a negative effect, thereby making local ignition drivers and their spatial relevance transparent. Conclusions: The proposed framework enables high-resolution mapping of anthropogenic forest fire ignition vulnerability and Explainable Artificial Intelligence (XAI)-driven multi-criteria evaluation, while revealing the relative influence of environmental and anthropogenic drivers. The introduced models identify historically fire-prone zones in Austria at both local and regional scales and indicate that anthropogenic factors, together with established environmental conditions, are key drivers of ignition vulnerability. More broadly, the methodological approach and findings illustrate how interpretable and explainable machine learning can help assess which variables are relevant under different local conditions, thereby supporting targeted mitigation and adaptation planning as well as more context-aware model development. Further work is needed to evaluate ignition danger under changing anthropogenic and environmental pressures. © The Author(s) 2026.","2026","2026-06-19 01:57:44","2026-06-19 01:57:44","","","","1","22","","Fire Ecol.","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\G2SCP2IP\Wimmer et al. - 2026 - Local drivers of anthropogenic forest fire ignition vulnerability in Austria.pdf","","","Anthropogenic forest fire; Austria; CatBoost; Climate change; Explainable AI; Fire danger; Forest fire prediction; Machine learning; Random forest; Susceptibility map","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F54WTVNK","journalArticle","2026","Zhang, Heng; Yu, Jianan; Hua, Yongchun","Evolution law of ignition driving factors for seasonal wildfires on the Mongolian Plateau and their future prediction","Journal of Forestry Research","","1007-662X","10.1007/s11676-026-02001-6","","Under the dual pressures of climate change and human activities, the frequency and intensity of global wildfires have significantly increased. While seasonal differences profoundly affect the intensity and spatial patterns of wildfire driving factors, past research has largely focused on annual scales, with insufficient attention paid to the dynamic changes and deeper impacts of driving factors in the seasonal dimension. Taking seasonal variations as the core entry point, this study integrated cross-border resources in the Sino-Mongolian border area, adopted satellite fire point data from 2001 to 2022, fused multi-source data including meteorological, topographic, vegetation, socioeconomic and anthropogenic activity data, incorporated meteorological data under three future climate scenarios, and compared the applicability of six models (Logistic Regression (LR), Gompit Regression (GR), Random Forest (RF), Boosted Regression Trees (BRT), XGBoost, and Support Vector Machine (SVM)) in wildfire prediction on the Mongolian Plateau. The results indicate that the Boosted Regression Trees model is the optimal model. Daily average relative humidity (Hum) and yearly average wind speed (Ywin) are the primary driving factors. The eastern provinces of Mongolia, Khovd Province, Selenge Province, and Hulunbuir City in China are identified as extremely high-risk areas for wildfires, with an increasing trend in wildfire incidents on the Mongolian Plateau in the future. This study improves the analysis of fire risk level zoning to accurately identify the spatial characteristics of high-risk areas and clarifies critical thresholds through the marginal benefit analysis of driving factors. Based on this, differentiated early warning systems can be initiated in conjunction with the specific conditions of high-risk areas, supported by targeted prevention and control measures, enhancing the foresight and effectiveness of wildfire risk management in cross-border regions. © Northeast Forestry University 2026.","2026","2026-06-19 01:57:47","2026-06-19 01:57:47","","","","1","37","","J. For. Res.","","","","","","Springer Nature","","English","","","","","Scopus","","","","","","","Driving factors; Fire risk zoning; Future projection; Model comparison; Mongolian Plateau; Seasonal classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTTJP6MD","journalArticle","2024","Vaca, César Cisneros; Calahorrano, Julia; Manzano, Mery","Revista Colombia Forestal","Colombia forestal","","2256-201X","10.14483/2256201X.20111","https://revistas.udistrital.edu.co/index.php/colfor/article/view/20111","Texto completo XML 																				Métricas disponibles 									Referencias 								Cómo citar","2024-01-01","2026-06-19 01:59:35","2026-06-19 01:59:35","2026-06-19 01:59:35","e20111","","1","27","","","","","","","","","","es","Derechos de autor 2024 Colombia forestal","","","","revistas.udistrital.edu.co","","","","C:\Users\gonza\Zotero\storage\TSUNJKTJ\Vaca et al. - 2024 - Revista Colombia Forestal.pdf","","","aprovechamiento forestal; bosque; bosque tropical; bosques; botánica; ciencias forestales; composición florística; ecología; madera; meteorología; MODIS; Quemas; silvicultura; vegetación","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFJ9255Z","journalArticle","2024","Casais, Gustavo; Guimarães, Nathalia Sernizon; Cortes, Taísa Rodrigues; Pescarini, Julia; Magalhães, Poliana Rebouças de; Wells, Valerie; Filho, José Firmino de Sousa; Neves, Danielson Jorge Delgado; Shimonovich, Michal; Olsen, Jonathan R.; Neto, Edgar Marcelino de Carvalho; Cooper, Philip; Katikireddi, Srinivasa Vittal; Emanuel, Lucas; Andrade, Roberto F. S.; Santos, Gervasio Ferreira dos; Barreto, Mauricio L.","Wildfire, deforestation and health in tropical rainforest areas: a scoping review protocol","BMJ Open","","2044-6055, 2044-6055","10.1136/bmjopen-2023-082381","https://bmjopen.bmj.com/content/14/5/e082381","Abstracto Introducción Los incendios forestales y la deforestación pueden tener efectos directos en múltiples aspectos de la salud, así como consecuencias indirectas para el cambio climático. Las selvas tropicales se caracterizan por altas precipitaciones, humedad y temperaturas elevadas, y se encuentran predominantemente en países de ingresos bajos y medios. Este estudio tiene como objetivo sintetizar los métodos, los datos y los resultados de salud reportados en artículos científicos sobre incendios forestales y deforestación en estas regiones. Métodos y análisis Realizaremos una revisión exploratoria según el manual del Instituto Joanna Briggs (JBI) para revisiones exploratorias y el marco propuesto por Arksey y O'Malley, y Levac et al . La búsqueda de artículos se realizó el 18 de agosto de 2023 en 16 bases de datos electrónicas utilizando términos de Medical Subject Headings y adaptaciones para cada base de datos desde su inicio. La búsqueda de estudios locales se complementará con la búsqueda manual en la lista de referencias de los estudios seleccionados para componer esta revisión. Se examinaron estudios escritos en inglés, francés, portugués y español. Se incluyeron estudios cuantitativos que evaluaran cualquier resultado de enfermedad humana, hospitalización y estadísticas vitales en regiones de selva tropical. Se excluyeron los estudios cualitativos y los estudios cuantitativos cuyos resultados no cubrieran los de interés. La revisión del texto fue realizada por dos revisores independientes. Posteriormente, se tabularán los datos según el origen de la fuente de datos utilizada, los métodos y los principales hallazgos sobre los impactos en la salud de los datos extraídos. Los resultados proporcionarán estadísticas descriptivas, junto con representaciones visuales en diagramas y tablas, complementadas con resúmenes narrativos tal como se detalla en las directrices de JBI. Ética y difusión: Este estudio no requiere revisión ética, ya que se trata de una metainvestigación y utiliza fuentes de datos secundarias publicadas y anonimizadas. Se prevé la presentación de los resultados para su publicación en una revista revisada por pares y su exposición en congresos científicos y de responsables políticos. Registro de estudios en Open Science Framework ( https://osf.io/pnqc7/ ).","2024-05-01","2026-06-19 01:59:42","2026-06-19 01:59:42","2026-06-19 01:59:42","e082381","","5","14","","","Wildfire, deforestation and health in tropical rainforest areas","","","","","British Medical Journal Publishing Group","","en","© Author(s) (or their employer(s)) 2024. Re-use permitted under CC BY. Published by BMJ.. https://creativecommons.org/licenses/by/4.0/This is an open access article distributed in accordance with the Creative Commons Attribution 4.0 Unported (CC BY 4.0) license, which permits others to copy, redistribute, remix, transform and build upon this work for any purpose, provided the original work is properly cited, a link to the licence is given, and indication of whether changes were made. See: https://creativecommons.org/licenses/by/4.0/.","","","","bmjopen.bmj.com","","","","C:\Users\gonza\Zotero\storage\CXU2V638\Casais et al. - 2024 - Wildfire, deforestation and health in tropical rainforest areas a scoping review protocol.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/38719283","","EPIDEMIOLOGY; PUBLIC HEALTH; STATISTICS & RESEARCH METHODS; TROPICAL MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public health","","","",""
"9F7DHQHZ","journalArticle","2023","Flores, María Augusta Sacoto; Sánchez-García, Carlos","Vulnerabilidades de los elementos esenciales y evaluación integral del riesgo de desastres para la planificación urbana y la gestión del riesgo en Azogues, Ecuador","Cuadernos de Investigación Geográfica","","1697-9540","10.18172/cig.5628","https://publicaciones.unirioja.es/ojs/index.php/cig/article/view/5628","The comprehensive assessment of disaster risk provides information on the potential adverse effects that could condition the city's processes, due to the interaction and contribution of its components in the development of hazard and vulnerability scenarios. By analyzing the most relevant hazards of the urban environment, identifying the vulnerabilities of the critical elements for the development of the city and the exposure of the elements to hazards; this study focuses on the understanding and holistic assessment of the disaster risk of the city of Azogues in Ecuador, in order to provide information to the local government, institutions and the population, to guide decision-making in urban planning and disaster risk management during all stages of disasters. To this end, a semi-quantitative methodology was applied based on the Multi-criteria Decision Analysis Method, and within this, the Analytic Hierarchy Process method and the heuristic approach and Geographic Information Systems and their tools. The results determined that some elements related to the health, education and supply sectors present certain vulnerabilities, although these are not associated with exposure to hazards. In relation to the most relevant hazards, approximately 7% and 33% of the total study area present high levels of susceptibility to landslides and forest fires, respectively. Finally, it was established that the most important factors affecting landslides are geological aspects and slope; and for forest fires, land use (vegetation) and radiation.","2023-03-28","2026-06-19 01:59:59","2026-06-19 01:59:59","2026-06-19 01:59:59","163-190","","1","49","","","","","","","","","","es","Copyright (c) 2023","","","","publicaciones.unirioja.es","","","","C:\Users\gonza\Zotero\storage\G5VKHY4H\Flores and Sánchez-García - 2023 - Vulnerabilidades de los elementos esenciales y evaluación integral del riesgo de desastres para la p.pdf","","","natural hazard assessment and management; Natural hazards; urban planning; vulnerability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWDRFLXN","journalArticle","2025","Yang, Shuai; Chen, Rui; He, Binbin; Zhang, Yiru","Low-variance estimation of live fuel moisture content using VIIRS data through radiative transfer model","International Journal of Applied Earth Observation and Geoinformation","","1569-8432","10.1016/j.jag.2024.104311","","The Canopy Live Fuel Moisture Content (LFMC) is a pivotal factor in wildfire risk assessment within the fire triangle model, representing the ratio of canopy moisture content to its dry weight. Against the backdrop of degraded Moderate Resolution Imaging Spectroradiometer (MODIS) performance and the underutilization of Visible Infrared Imaging Radiometer Suite (VIIRS) in LFMC inversion, this study harnessed the coupled radiative transfer models (RTMs) to probe the spectral sensitivity of the VIIRS to LFMC and pinpoint the optimal band combination for LFMC inversion. To tackle the challenge of ill-posed inversion, we leveraged the correlation coefficient matrix to mitigate erroneous combinations of free parameters in the construction of the lookup table. Results showcase that VIIRS-based LFMC inversion yields marginally superior accuracy (R2= 0.57, R2= 0.32) for both grassland and forest types, with VIIRS-based inversion demonstrating a lower relative root mean square error (rRMSE = 5.84%), compared to results from the MODIS. By scrutinizing LFMC trends alongside precipitation (PP) data in four forest fires spanning from 2019 to 2022 in southwest China, varied degrees of LFMC decrease preceding fire outbreaks. Those results substantiated the validity of the proposed method for wildfire warning. Consequently, our study asserts the reliability of VIIRS in LFMC inversion, positioning it as a viable substitute and extension of MODIS. VIIRS offers continuous and effective product support for wildfire warning assessment, enhancing our ability to monitor and mitigate wildfire risks. © 2024 The Authors","2025","2026-06-19 02:01:04","2026-06-19 02:01:04","","","","","136","","Int. J. Appl. Earth Obs. Geoinformation","","","","","","Elsevier B.V.","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\28TTJK6F\85212096508.html","","","Fuel moisture content; MODIS; Radiative transfer model; Sensitivity analysis; VIIRS; Wildfire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"794GVDJL","journalArticle","2025","Duan, Jiawei; Hu, Jiheng; Fu, Yuyun; Liu, Qingyang; Li, Rui; Wang, Yipu","Estimation of Fire Counts and Fire Radiative Power Using Satellite Optical and Microwave Vegetation Indices With Random Forest Method","Journal of Geophysical Research: Atmospheres","","2169-897X","10.1029/2024JD041680","","The satellite microwave emissivity difference vegetation index (EDVI) has been used in previous studies to estimate FCs and FRP using traditional multivariate linear regression models. However, the nonlinear effects and contributions of numerous factors that affect forest fires cannot be disentangled by this model. Using the random forest (RF) model, this study utilized multiple EDVIs and the optical normalized difference vegetation index (NDVI) as key fuel properties to resolve the physical driving mechanisms of forest fires and to estimate the daily FCs and FRP over East Asia. The results showed that the estimated FCs and FRP were in good agreement with satellite observations, with a spatial R of 0.59 for FCs and 0.63 for FRP and a temporal R of 0.80 for FCs and 0.81 for FRP. The integration of EDVIs and NDVI into the RF model was found to improve model performance and generate overall lower systematic errors than the model without vegetation variables. Model performance was better than that in previous studies using multivariate linear regression models. In addition, EDVIs showed greater importance than NDVI. This was largely due to their daily temporal resolution that allowed EDVIs to capture forest fire dynamics in time. The combination of the RF model with satellite microwave and optical observations shows good performance and has great potential for FC and FRP estimations in global fire danger assessment. © 2025. American Geophysical Union. All Rights Reserved.","2025","2026-06-19 02:01:06","2026-06-19 02:01:06","","","","3","130","","J. Geophys. Res. Atmos.","","","","","","John Wiley and Sons Inc","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\K5T6KSLC\85216373806.html","","","fire count; fire radiative power; fire weather index; random forest model; satellite microwave vegetation index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GPRMW9Z8","journalArticle","2026","Xu, Weidong; Wooster, Martin J.; He, Jiangping; Meraner, Andrea; Gomez-Dans, Jose; Liu, Zixia; Trigo, Isabel F.; Dutra, Emanuel","Major improvements in spaceborne early fire detection and small-fire FRP retrieval with the meteosat third generation flexible combined imager","Science of Remote Sensing","","2666-0172","10.1016/j.srs.2026.100366","","Geostationary Earth Observation satellites, originally developed for weather forecasting, offer unique high temporal resolution imaging capabilities increasingly suited for detecting the fast-changing dynamics of landscape fires. The newly operational Meteosat Third Generation (MTG) satellite carries a Flexible Combined Imager (FCI) that greatly improves on the spatial, temporal and radiometric characteristics of the predecessor Meteosat Second Generation (MSG) Spinning Enhanced Visible and Infrared Imager (SEVIRI) system. Here we describe for the first time the application of an active fire (AF) detection algorithm to FCI data, and the retrieval of fire radiative power (FRP) estimates from the detected AF pixels. The algorithm used is the Fire Thermal Anomaly (FTA) approach, currently used to generate the operational SEVIRI AF data products at the EUMETSAT Land Surface Analysis Satellite Application Facility (LSA SAF). A comparative analysis between the FCI-derived outputs and those obtained from the existing SEVIRI system is undertaken in order to evaluate the benefits provided by FCI. We also include in this comparison data products from the polar-orbiting Moderate Resolution Imaging Spectroradiometer (MODIS) and Visible Infrared Imaging Radiometer Suite (VIIRS) systems. Our intercomparisons made in detail over specific Portuguese and Greek wildfires, and systematically across Africa and Europe, reveals four key findings: (1) FCI detects fire onset up to 4 h earlier than SEVIRI for the specific fires examined, and 2 h before MODIS and 4 h before VIIRS; (2) FCI generated 5 × more AF pixel detections than SEVIRI, due to a much reduced minimum FRP detection threshold (∼10 MW versus ∼40 MW) enabling the detection of the many AF pixels missed by SEVIRI; (3) FCI AF detection errors of omission were 38 % compared to MODIS centre-of-scan data, and 68 % compared to VIIRS, substantially improving on SEVIRI's 83 % and 89 % respectively; while commission errors compared to these two remained low at 12 % and 10 % respectively; (4) FCI FRP retrievals showed very strong agreement with the matching ones provided by MODIS (r2 = 0.97, slope = 0.93). FCI offers detections every 10 min over the full disk, and 2.5 min over Europe when rapid-scan commences after launch of the second MTG Imagery platform. The results shown here suggest that the operational active fire data products based on FCI and planned to be issued from the EUMETSAT LSA SAF using the FTA algorithm should deliver a substantial improvement in satellite-based fire monitoring across Europe and Africa compared to the already successful products currently generated from MSG. © 2026 The Authors.","2026","2026-06-19 02:01:08","2026-06-19 02:01:08","","","","","13","","Sci. Remote Sens.","","","","","","Elsevier B.V.","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\VRQN5GQY\105027655917.html","","","Active fire; Flexible combined imager (FCI); FRP; Meteosat third generation (MTG); MODIS; SEVIRI; VIIRS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283M8SIB","journalArticle","2026","Jia, Qinglong; Quan, Xingwen; Resco de Dios, Víctor; Yebra, Marta; He, Binbin; Li, Xing; Liao, Zhanmang; Balaguer-Romano, Rodrigo; De Cáceres, Miquel","Enhancing two-week live fuel moisture content forecasts through biophysical modelling and remote sensing data assimilation","Remote Sensing of Environment","","0034-4257","10.1016/j.rse.2026.115267","","Live Fuel Moisture Content (LFMC) is a critical determinant of wildfire ignition and spread. Accurate forecasting of LFMC dynamics, particularly at a two-week timescale, is essential for early wildfire danger assessment. While satellite remote sensing provides valuable current and historical observations, it lacks the ability to predict future LFMC dynamics. Meanwhile, although weather forecasts are relatively reliable over short timescales (up to two weeks), LFMC models based solely on meteorological inputs often fall short, particularly when predicting conditions at the species level. To address these limitations, this study introduces a species-specific approach that integrates MODIS-derived LFMC data into the biophysical process-based MEDFATE model to optimize LFMC simulations and enable short-term forecasting based on daily weather projections. A global sensitivity analysis was conducted to identify key input parameters for different tree species within MEDFATE. These parameters guided the development of a cost function that quantifies discrepancies between model-simulated and field-measured LFMC, enabling species-specific model calibration. To enhance model optimization, the global optimal DEoptim algorithm was combined with four-dimensional variational data assimilation (4D-Var) to integrate MODIS-derived LFMC estimates into MEDFATE. Using weather projections, the optimized MEDFATE model produced LFMC forecasts at about a two-week timescale. Time-series measurements of LFMC dynamics for Quercus faginea, Quercus ilex, and Pinus halepensis in Spain, Pinus ponderosa in the USA, and Eucalyptus species in Australia demonstrated that model calibration improved daily LFMC estimates (R2 increased from 0.22 to 0.31; RMSE reduced from 18.71% to 16.04%). Further incorporation of MODIS-derived LFMC data significantly enhanced accuracy (R2 = 0.56; RMSE = 9.75%). Validation across seven wildfire events in Spain, Australia, and the USA confirmed the effectiveness and operational relevance of the approach for early fire warning. These findings underscore the potential of integrating satellite remote sensing and meteorological data into biophysical process-based models to improve tree species-specific LFMC prediction and support proactive fire management. © 2026 Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","2026","2026-06-19 02:01:09","2026-06-19 02:01:09","","","","","335","","Remote Sens. Environ.","","","","","","Elsevier Inc.","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\2AQ4T94A\105035264576.html","","","Forecast; Four-dimensional Variational data assimilation; Live fuel moisture content; MEDFATE; Numerical optimization; Sensitivity analysis; Wildfires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MA8LQ9ZB","journalArticle","2026","Heo, Sujung; Ahn, Sujung","Predicting wildfires triggered by human-caused ignition: A spatial framework integrating AI models","Ecological Informatics","","1574-9541","10.1016/j.ecoinf.2026.103640","","Human-caused ignitions—including agricultural residue burning, land clearing, and various open-fire practices—are now a major contributor to wildfire occurrence in South Korea, accounting for more than 40% of recent events and concentrating along rapidly expanding wildland–urban interface (WUI) zones. To improve national-scale understanding of these ignition processes, this study develops an integrated wildfire risk assessment framework that combines Random Forest (RF), Generalized Additive Models (GAM), and Geographically Weighted Regression (GWR). Using 3703 georeferenced human-caused wildfire records (2001–2025) and high-resolution climatic, land-use, vegetation, and demographic datasets, we identify key ignition drivers, quantify nonlinear environmental thresholds, and map spatial heterogeneity in human-driven wildfire susceptibility. RF achieved the strongest predictive performance (AUC = 0.829), while GAM revealed sharp increases in ignition probability below 15% relative humidity, around 15 m/s wind speeds, and at intermediate NDVI levels (0.2–0.4). GWR showed substantial regional variability in these effects, particularly within peri-urban landscapes where human activity and fuel continuity intersect. High-risk areas (probability ≥0.70) accounted for 16.96% of the national territory and were concentrated in northern Gyeonggi-do, eastern Gangwon-do, and parts of Chungcheong and Jeolla provinces. By integrating the complementary strengths of RF, GAM, and GWR, this study provides operational ignition thresholds and high-resolution risk maps that support evidence-based land-use planning, targeted burning restrictions, and climate-adaptive fire management. The framework offers a transferable approach for regions facing similar challenges associated with human-caused wildfire ignitions and rapidly evolving socio-ecological landscapes. © 2026 The Authors.","2026","2026-06-19 02:01:11","2026-06-19 02:01:11","","","","","94","","Ecol. Informatics","Predicting wildfires triggered by human-caused ignition","","","","","Elsevier B.V.","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\QIWYYIJA\105030820426.html","","","Generalized additive models (GAM); Geographically weighted regression (GWR); Human-caused wildfires; Random Forest (RF); Wildfire ignition risk; Wildland–urban Interface (WUI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
